A Classic Education - NightOwl,2.91,299354.12682164524
ANiMAL - Clinic A,0.22,1931455.669234363
ANiMAL - Easy Tiger,0.17,3346633.255361426
ANiMAL - Rockshow,0.25,1756797.3469483
Actions - Devil's Words,1.05,1403356.1458279644
Actions - One Minute Smile,0.41,1575147.569469841
Actions - South Of The Water,0.22,2238706.557217399
Aimee Norwich - Child,2.35,3194825.2905407436
Alexander Ross - Goodbye Bolero,1.47,1558942.7875916525
Alexander Ross - Velvet Curtain,0.54,1850107.8229352063
Angela Thomas Wade - Milk Cow Blues,1.36,1186712.4871348713
Atlantis Bound - It Was My Fault For Waiting,2.59,1729443.1178647329
Auctioneer - Our Future Faces,1.64,1323703.3388856559
AvaLuna - Waterduct,0.54,1451195.4500805873
BigTroubles - Phantom,3.88,342888.6488978982
Bill Chudziak - Children Of No-one,2.06,2400656.2548176604
Black Bloc - If You Want Success,0.28,3576752.8318290426
Celestial Shore - Die For Us,2.88,522537.9305446805
Chris Durban - Celebrate,2.35,1711178.83222401
Clara Berry And Wooldog - Air Traffic,3.19,9731339.273709096
Clara Berry And Wooldog - Stella,1.73,2095979.9495169371
Clara Berry And Wooldog - Waltz For My Victims,2.04,12943661.619976021
Cnoc An Tursa - Bannockburn,0.3,802657.7169178425
Creepoid - OldTree,1.66,1450081.956947272
Dark Ride - Burning Bridges,0.56,1211437.0930359322
Dreamers Of The Ghetto - Heavy Love,3.78,2414401.064085965
Drumtracks - Ghost Bitch,3.79,809240.4963353412
Faces On Film - Waiting For Ga,0.45,435773.4881582275
Fergessen - Back From The Start,0.33,2645212.4597972594
Fergessen - Nos Palpitants,0.29,1486872.2163115086
Fergessen - The Wind,0.54,1451000.2381287995
Flags - 54,0.3,7690190.946849751
Giselle - Moss,3.84,3151505.0498052463
Grants - PunchDrunk,2.69,4945049.82612298
Helado Negro - Mitad Del Mundo,2.29,2144924.0346694808
Hezekiah Jones - Borrowed Heart,3.71,270670.4024413621
Hollow Ground - Left Blind,0.31,2509664.978339443
Hop Along - Sister Cities,0.63,3060821.6334324973
Invisible Familiars - Disturbing Wildlife,0.46,2241336.024075838
James May - All Souls Moon,0.87,1840494.2803156937
James May - Dont Let Go,2.2,2369846.183731469
James May - If You Say,2.21,1378511.7574391935
James May - On The Line,1.96,836605.5886833593
Jay Menon - Through My Eyes,4.11,2012959.966437224
Johnny Lokke - Promises & Lies,2.36,468373.1312389588
Johnny Lokke - Whisper To A Scream,2.19,1711521.6930508318
"Jokers, Jacks & Kings - Sea Of Leaves",0.29,1882896.1258963526
Leaf - Come Around,2.09,3649225.2829036214
Leaf - Summerghost,0.25,13850020.039228996
Leaf - Wicked,1.02,1643901.3994690413
Lushlife - Toynbee Suite,0.32,1611616.1826478974
Matthew Entwistle - Dont You Ever,3.34,6573714.988341339
Meaxic - Take A Step,0.96,1875127.7715500926
Meaxic - You Listen,1.79,4789987.469849671
Music Delta - 80s Rock,0.95,520287.82669569395
Music Delta - Beatles,0.7,939515.5485689599
Music Delta - Britpop,1.39,1586996.732270951
Music Delta - Country1,1.02,2001113.2110358635
Music Delta - Country2,1.63,1551574.6741405646
Music Delta - Disco,1.4,4597210.359949023
Music Delta - Gospel,1.57,2711274.6992135914
Music Delta - Grunge,0.98,1593205.6046371008
Music Delta - Hendrix,3.28,1124858.4176710541
Music Delta - Punk,1.07,1814967.8161648957
Music Delta - Reggae,1.58,1398288.3255252824
Music Delta - Rock,0.64,451419.5556403067
Music Delta - Rockabilly,1.09,1582120.9543219279
Night Panther - Fire,1.84,2336734.3112130063
North To Alaska - All The Same,0.31,7228947.704664306
Patrick Talbot - A Reason To Leave,0.69,1267442.7613548865
Patrick Talbot - Set Me Free,1.39,3239689.9575976324
Phre The Eon - Everybody's Falling Apart,2.18,3672744.773418711
Port St Willow - Stay Even,0.27,1062463.2035491464
Remember December - C U Next Time,2.44,1556485.7583315861
Secret Mountains - High Horse,4.05,599042.1433648191
Skelpolu - Human Mistakes,3.85,3334715.156497879
Skelpolu - Together Alone,3.45,3883874.4073632043
Snowmine - Curfews,4.04,557084.2868243321
Spike Mullings - Mike's Sulking,2.24,2590565.844722822
St Vitus - Word Gets Around,1.77,2348045.0621589455
Steven Clark - Bounty,0.37,1833340.7432698612
Strand Of Oaks - Spacestation,2.21,5799194.145791078
Sweet Lights - You Let Me Down,0.28,1510525.268009652
Swinging Steaks - Lost My Way,1.91,2172498.23883581
The Districts - Vermont,3.75,805561.4731364261
The Long Wait - Back Home To Blue,2.16,1921993.8643816959
The Scarlet Brand - Les Fleurs Du Mal,2.23,1165368.760305276
The So So Glos - Emergency,1.36,1155043.169003412
The Wrong'Uns - Rothko,2.79,1251891.6984871314
Tim Taler - Stalker,0.74,2028951.4443638888
Titanium - Haunted Age,1.67,2428034.310623024
Traffic Experiment - Once More (With Feeling),3.41,1379120.124905128
Traffic Experiment - Sirens,1.91,995503.3461387777
Triviul - Angelsaint,2.2,1250309.2466549454
Triviul - Dorothy,2.49,3227941.474710413
Voelund - Comfort Lives In Belief,1.64,2966904.5994965495
Wall Of Death - Femme,3.03,1085784.2710400955
Young Griffo - Blood To Bone,0.91,1537150.8623922612
Young Griffo - Facade,2.81,1010849.5247930061
Young Griffo - Pennies,1.46,4209099.913040189
