A Classic Education - NightOwl,2.91,2.8376495997762838e-05
ANiMAL - Clinic A,0.22,3.489944910742267e-05
ANiMAL - Easy Tiger,0.17,3.6619729541639586e-05
ANiMAL - Rockshow,0.25,3.659568847441454e-05
Actions - Devil's Words,1.05,4.5790192929833907e-05
Actions - One Minute Smile,0.41,4.579869295354075e-05
Actions - South Of The Water,0.22,3.358022306869721e-05
Aimee Norwich - Child,2.35,3.025006461521344e-05
Alexander Ross - Goodbye Bolero,1.47,2.307727340917975e-05
Alexander Ross - Velvet Curtain,0.54,1.6233943077531953e-05
Angela Thomas Wade - Milk Cow Blues,1.36,2.6798700198092717e-05
Atlantis Bound - It Was My Fault For Waiting,2.59,2.7307479403509655e-05
Auctioneer - Our Future Faces,1.64,3.10389176316852e-05
AvaLuna - Waterduct,0.54,2.106198600835528e-05
BigTroubles - Phantom,3.88,3.4944317443154916e-05
Bill Chudziak - Children Of No-one,2.06,2.6240879607202044e-05
Black Bloc - If You Want Success,0.28,3.3551217200570895e-05
Celestial Shore - Die For Us,2.88,2.756171344235233e-05
Chris Durban - Celebrate,2.35,3.080418516007383e-05
Clara Berry And Wooldog - Air Traffic,3.19,1.7003416871761472e-05
Clara Berry And Wooldog - Stella,1.73,1.6795103921892187e-05
Clara Berry And Wooldog - Waltz For My Victims,2.04,1.5596022466345456e-05
Cnoc An Tursa - Bannockburn,0.3,3.726161490860685e-05
Creepoid - OldTree,1.66,2.4204040453312494e-05
Dark Ride - Burning Bridges,0.56,4.004682508141909e-05
Dreamers Of The Ghetto - Heavy Love,3.78,2.857316409385819e-05
Drumtracks - Ghost Bitch,3.79,2.3968326720211e-05
Faces On Film - Waiting For Ga,0.45,2.658024577149807e-05
Fergessen - Back From The Start,0.33,2.9732789533613268e-05
Fergessen - Nos Palpitants,0.29,2.61435085880677e-05
Fergessen - The Wind,0.54,3.217964332584728e-05
Flags - 54,0.3,2.4160193649256772e-05
Giselle - Moss,3.84,2.202128335645332e-05
Grants - PunchDrunk,2.69,2.9546607294225244e-05
Helado Negro - Mitad Del Mundo,2.29,2.688702638490908e-05
Hezekiah Jones - Borrowed Heart,3.71,2.5084157081956863e-05
Hollow Ground - Left Blind,0.31,3.4761808625101565e-05
Hop Along - Sister Cities,0.63,3.165238350732426e-05
Invisible Familiars - Disturbing Wildlife,0.46,2.6172410458541785e-05
James May - All Souls Moon,0.87,1.440013131440563e-05
James May - Dont Let Go,2.2,2.25963236810858e-05
James May - If You Say,2.21,1.0434292020837191e-05
James May - On The Line,1.96,2.2867850383607186e-05
Jay Menon - Through My Eyes,4.11,1.3297747848316814e-05
Johnny Lokke - Promises & Lies,2.36,4.1273516437687044e-05
Johnny Lokke - Whisper To A Scream,2.19,4.563353326290686e-05
"Jokers, Jacks & Kings - Sea Of Leaves",0.29,3.611635394605226e-05
Leaf - Come Around,2.09,2.0084987383107137e-05
