	room_size	reverberation_time_s	lows_cutoff_frequency_hz	lows_q_factor	lows_gain_db_s	highs_cutoff_frequency_hz	highs_q_factor	highs_gain_db_s	fade_in_time_s	dry_wet
0	15.66884	4.7624583	10846.272	0.99603003	72.254906	14811.941	0.89553255	66.60687	4.155477	0.5422139
1	15.210366	4.274923	10079.211	0.7908931	53.53097	11552.761	0.6846895	53.7268	4.035558	0.4612996
2	15.081152	4.0432177	9718.468	0.65988237	44.744312	10382.88	0.5553367	48.92994	3.9969416	0.43537998
3	14.736007	3.9010057	9534.443	0.59308404	41.529327	9994.736	0.4970602	46.866455	3.960526	0.42464703
4	14.507114	3.76555	9373.219	0.57505393	40.660084	9712.749	0.47340116	45.361675	3.9232945	0.41727072
5	14.269577	3.7179122	9131.808	0.5457416	39.411247	9521.018	0.45730224	44.001434	3.9502857	0.4108141
6	14.09483	3.6384664	8968.424	0.54480726	38.97826	9431.929	0.44785625	42.744343	3.850517	0.41038114
7	13.8908825	3.5921793	8694.23	0.53196543	38.18799	9259.706	0.445346	41.369507	3.7650344	0.39871505
8	13.86989	3.569392	8640.684	0.5300104	37.86101	9097.621	0.43664664	39.974884	3.6696796	0.39182258
9	13.6087675	3.5543623	8440.693	0.51839924	37.30554	8842.036	0.42639056	38.295353	3.7149527	0.39179358
10	13.477455	3.5142202	8304.159	0.5161525	36.41729	8724.041	0.42697635	37.918934	3.6371	0.38975793
11	13.308647	3.4307244	8218.057	0.5131559	36.32327	8615.344	0.42202148	36.899124	3.6526296	0.3812571
12	13.166633	3.4404721	8085.451	0.51181585	35.71742	8479.829	0.41922858	36.23232	3.5915997	0.38100815
13	13.115304	3.379546	7827.2427	0.5017934	35.737267	8380.525	0.4112794	35.33691	3.5551353	0.37676427
14	13.01022	3.3725777	7711.8345	0.49723533	34.85394	8284.326	0.41079888	34.90491	3.5289803	0.3765281
15	13.02422	3.3002539	7685.0303	0.4966386	34.79787	8244.007	0.40170404	34.086624	3.4690654	0.36545572
16	12.866634	3.2959287	7571.729	0.49432245	34.212208	8110.627	0.39827555	33.546257	3.400162	0.3606791
17	12.7352495	3.239938	7471.0854	0.4934149	34.439365	8051.5596	0.4008577	33.250496	3.369417	0.35706598
18	12.542196	3.2247164	7413.151	0.4790216	33.78872	7927.2583	0.39255533	32.86907	3.3595138	0.3538968
19	12.521612	3.198423	7318.1514	0.4806968	33.129234	7891.4863	0.38807118	32.303776	3.3168979	0.35393143
20	12.449385	3.1509311	7165.0186	0.4789467	32.847225	7815.156	0.38802713	32.20143	3.3352957	0.35053518
21	12.281578	3.129483	7117.4844	0.47663268	32.53846	7721.026	0.38812235	31.973274	3.2605464	0.34369993
22	12.241008	3.1091373	6981.9697	0.4701805	32.47234	7562.57	0.3797552	31.428314	3.1908762	0.34421965
23	12.140221	3.10207	6978.7954	0.46716607	32.122463	7608.8564	0.37885502	30.879072	3.1935604	0.34183317
24	12.060808	3.0188663	6901.9595	0.46611074	32.10006	7505.8623	0.36970893	30.558014	3.154407	0.33553037
25	12.039889	3.0474665	6784.778	0.46895602	31.73775	7439.573	0.3734713	30.87716	3.1425261	0.33196938
26	11.81045	2.9932718	6713.989	0.46306002	31.436367	7350.548	0.36999297	29.882736	3.0383954	0.33106276
27	11.942531	2.994506	6629.577	0.45734322	30.906075	7249.5845	0.3650965	29.684647	3.0748274	0.3246772
28	11.696363	2.935539	6541.326	0.4611483	30.788115	7226.2744	0.36523286	29.83217	3.0356152	0.32439023
29	11.562657	2.9563055	6465.092	0.45753008	30.626066	7197.072	0.3599276	29.402407	3.0298455	0.31577402
30	11.566189	2.872329	6330.4546	0.4527753	29.977877	7120.82	0.36053848	29.381426	2.9875555	0.31584617
31	11.573976	2.8536124	6415.4585	0.450966	30.263552	7098.4194	0.35819295	29.150587	2.9176264	0.3091904
32	11.40735	2.835481	6326.232	0.4493054	29.965864	7034.2256	0.35461912	28.87201	2.912375	0.30736986
33	11.328618	2.7892885	6104.0723	0.4474041	29.372684	7012.807	0.3510507	28.225529	2.8481264	0.30814132
34	11.239641	2.783436	6138.597	0.44545683	29.210152	6924.8877	0.3501963	28.050905	2.8701963	0.30430955
35	11.156717	2.784787	6026.5967	0.44135496	29.166744	6880.461	0.34629014	27.722414	2.8115366	0.3005609
36	11.187829	2.707052	5957.9326	0.44062248	28.529129	6785.559	0.3487934	27.530169	2.7713056	0.2949053
37	11.088723	2.6817048	5887.7534	0.4367497	28.44564	6701.996	0.34512532	27.370079	2.7204585	0.2943667
38	11.013491	2.685412	5828.3613	0.43742684	28.108824	6705.9766	0.33801633	26.995832	2.7168021	0.29078618
39	11.039851	2.645586	5850.3076	0.4409743	28.003336	6682.6626	0.3391881	27.148638	2.7097652	0.2911513
40	10.875468	2.6606379	5676.9263	0.4350423	27.850248	6705.0254	0.33612087	26.971628	2.6898725	0.28593317
41	10.782289	2.60819	5618.6675	0.43208626	27.584188	6485.3223	0.3337376	26.058971	2.66187	0.28396198
42	10.682297	2.6079504	5649.3184	0.43453482	27.408657	6532.9927	0.33566442	26.380337	2.6290755	0.2841519
43	10.676029	2.5595474	5585.582	0.43005475	27.151539	6398.186	0.3307276	25.823166	2.5843103	0.27783126
44	10.7041855	2.5550513	5482.9956	0.4331022	27.209799	6396.274	0.33221304	25.705397	2.5802593	0.27278468
45	10.513713	2.5302656	5432.5786	0.4315105	26.688896	6440.158	0.32709643	25.527752	2.5672588	0.27223802
46	10.513037	2.5109305	5401.871	0.43238026	26.744068	6301.353	0.32250956	25.279655	2.5421882	0.27422714
47	10.557554	2.4747105	5381.002	0.4273533	26.480082	6303.761	0.3264879	25.315115	2.5126154	0.2726605
48	10.467961	2.4727552	5340.4863	0.4272192	26.279657	6243.0815	0.3242364	25.101444	2.49034	0.2674549
49	10.405562	2.4576554	5266.366	0.42832896	26.18524	6285.026	0.32066816	24.84345	2.4629734	0.26512942
50	10.36517	2.4248452	5229.211	0.42626974	25.379448	6213.023	0.3204466	24.633286	2.439752	0.26442885
51	10.273637	2.409192	5148.757	0.42131528	25.779758	6165.5796	0.31811112	24.418118	2.4201248	0.25937334
52	10.154394	2.4063997	5115.008	0.42495102	25.446716	6198.597	0.31801867	24.349365	2.395091	0.25942686
53	10.160354	2.4113705	5045.312	0.42139593	25.233984	6111.7275	0.31684464	24.181866	2.3587353	0.25691405
54	10.1219425	2.33874	5010.6646	0.4149301	25.079428	6019.921	0.3129806	23.664976	2.3300998	0.25556368
55	9.992308	2.3284326	4926.826	0.42016864	24.855206	6024.8667	0.31054193	23.75886	2.3099146	0.25292376
56	10.083286	2.2909226	4888.4775	0.41637525	24.87739	5981.464	0.31312728	23.535032	2.327638	0.2495902
57	9.951232	2.3343284	4879.6074	0.41932744	24.589626	6036.5566	0.3105874	23.443808	2.2785783	0.24700685
58	9.96506	2.307382	4864.3477	0.4165555	24.75476	5916.7266	0.30604622	22.881954	2.239305	0.24834721
59	9.855481	2.278969	4811.908	0.4129044	24.279713	5917.4824	0.30680877	22.897272	2.255901	0.24375513
60	9.924405	2.2622974	4770.8286	0.41359267	24.416569	5916.712	0.30757397	22.98121	2.2213469	0.24429841
61	9.904941	2.2565677	4726.6606	0.41279554	24.231972	5819.738	0.3060405	22.608273	2.2207415	0.24296227
62	9.777786	2.2333367	4692.3306	0.41223302	24.0715	5848.5347	0.30353254	22.583544	2.1743023	0.24243298
63	9.666862	2.2042387	4567.542	0.4101134	23.827116	5788.02	0.3018248	22.415852	2.1745007	0.23829685
64	9.566969	2.1940773	4580.55	0.40715086	23.289417	5738.108	0.299821	22.051498	2.1540847	0.2351142
65	9.582308	2.1588972	4507.949	0.40935406	23.338123	5735.2236	0.3007642	21.997002	2.121545	0.23619124
66	9.589741	2.1611392	4514.408	0.41135478	23.565964	5691.8564	0.29874554	21.684862	2.099494	0.23245604
67	9.595211	2.1500301	4460.7134	0.40745267	23.011713	5698.546	0.2973998	21.585148	2.1045754	0.22994232
68	9.574834	2.1361985	4430.6226	0.41125128	22.77756	5608.315	0.29698077	21.803303	2.084397	0.23184286
69	9.449034	2.1329284	4394.176	0.40606147	22.84021	5574.8394	0.29573634	21.663595	2.0785794	0.22808811
70	9.501582	2.109945	4382.066	0.4081387	22.837551	5551.2344	0.29662246	21.38628	2.053703	0.22475131
71	9.510873	2.1092632	4290.2324	0.40611026	22.661243	5577.399	0.29294363	21.26432	2.0344892	0.22737597
72	9.4174385	2.0747867	4294.6177	0.40619195	22.279589	5475.3687	0.2930938	21.347963	2.0306137	0.2232874
73	9.232088	2.0587628	4246.4917	0.40347895	22.349882	5454.9326	0.28863093	21.03621	1.9899536	0.22149584
74	9.435708	2.0548522	4200.1133	0.40672293	22.219938	5485.7983	0.28724247	20.869678	1.9881175	0.22109562
75	9.247844	2.043678	4153.8525	0.40135366	21.96074	5447.6455	0.28539026	20.82877	1.9706222	0.21881847
76	9.2481165	2.0156126	4203.7544	0.40393892	22.101715	5450.3965	0.28587097	20.730427	1.9356638	0.21829313
77	9.213492	2.0099218	4082.9866	0.40288252	21.804424	5393.249	0.28602624	20.323505	1.9196038	0.2158724
78	9.193976	1.9879758	4077.172	0.402265	21.612663	5361.637	0.28382686	20.249863	1.9233066	0.21324247
79	9.1433935	2.00752	4050.2263	0.40243942	21.766138	5312.507	0.28479326	20.182634	1.8766217	0.21047159
80	9.191246	1.9768564	3999.7195	0.4014917	21.152607	5318.6216	0.2845027	20.078236	1.8859309	0.21098983
81	9.147261	1.9638169	3938.5762	0.40086606	21.361141	5250.534	0.2805628	20.20109	1.8385935	0.21198228
82	9.098138	1.9496148	3931.4062	0.40123668	21.125675	5307.0806	0.28119603	19.685001	1.846963	0.20988199
83	9.139874	1.9409508	3910.134	0.39991412	21.213213	5234.697	0.2810189	19.51584	1.8298104	0.2099539
84	8.97837	1.9332051	3885.989	0.40041137	21.04315	5206.7744	0.27861118	19.536577	1.8415173	0.20373458
85	8.934561	1.9052827	3838.745	0.40018785	20.828484	5226.838	0.2797927	19.517761	1.8297447	0.20448752
86	8.952015	1.9247121	3809.4307	0.39903066	20.639038	5162.861	0.27621996	19.503931	1.7945708	0.20246136
87	9.00962	1.8927743	3776.2524	0.3967795	20.375504	5199.889	0.27675015	19.324911	1.7768054	0.20128605
88	8.922068	1.8820807	3720.1794	0.39723012	20.304546	5152.465	0.2771098	19.285557	1.7545122	0.19911806
89	8.864418	1.8521476	3704.644	0.39429495	20.281544	5148.4365	0.27409735	18.925665	1.7647455	0.19759275
90	8.806572	1.8657777	3689.8176	0.39570805	20.463234	5109.525	0.27438104	18.969559	1.7403395	0.19641821
91	8.915975	1.864023	3677.5056	0.39614454	20.326996	5070.672	0.27598673	18.724371	1.7232863	0.1943388
92	8.8125	1.8521934	3632.965	0.39595208	19.995726	5030.038	0.27194244	18.864176	1.7154714	0.19578993
93	8.797689	1.8339033	3585.044	0.39702907	19.95392	5044.7744	0.27204576	18.690018	1.715905	0.19481984
94	8.785441	1.8242792	3559.1755	0.3939338	19.713985	4991.4053	0.2732995	18.519554	1.7064613	0.19145618
