	room_size	reverberation_time_s	lows_cutoff_frequency_hz	lows_q_factor	lows_gain_db_s	highs_cutoff_frequency_hz	highs_q_factor	highs_gain_db_s	fade_in_time_s	dry_wet
0	8.267288	1.6427492	2539.5962	0.38676122	16.32977	4323.3887	0.24822143	13.023601	1.1374987	0.15545067
1	7.010067	1.0239768	479.8408	0.36394975	8.216087	3389.2688	0.18725558	6.9597464	0.50372875	0.08300654
2	6.8987665	0.9890128	142.03009	0.36125386	6.819235	3347.9333	0.18092549	6.322272	0.4890098	0.07999119
3	6.8326125	0.97267324	67.16081	0.35709342	6.4473176	3305.522	0.17832181	6.1325817	0.47617114	0.078562886
4	6.765538	0.96226996	51.00848	0.3546874	6.291148	3280.8123	0.17728473	5.964878	0.4714193	0.07798491
5	6.635041	0.9486026	45.8599	0.3476014	6.040579	3191.034	0.1732863	5.724153	0.46476188	0.07665698
6	6.4910088	0.93044627	43.46748	0.34004855	5.6826496	3107.3928	0.16926384	5.4558845	0.45698017	0.0761886
7	6.397153	0.9212081	42.14518	0.33086604	5.38673	3046.6665	0.16660883	5.3200574	0.45283994	0.074977376
8	6.293954	0.8977013	40.989246	0.32105827	5.219991	3006.9514	0.16362272	5.1392016	0.44797483	0.0742434
9	6.182593	0.8842342	40.857773	0.3106996	4.8634267	2958.9204	0.16034934	4.9591913	0.44363338	0.07369612
10	6.01427	0.8713215	41.223537	0.2982873	4.57147	2879.9697	0.15574501	4.731405	0.44387951	0.073118754
11	5.9456773	0.85466397	41.530857	0.28710875	4.3081317	2824.8828	0.15264724	4.6957016	0.4414209	0.07287723
12	5.842153	0.8409263	41.24414	0.28094295	4.093905	2799.0999	0.14846604	4.6116185	0.43450525	0.0725903
13	5.771914	0.83251536	43.757133	0.27162126	4.0161357	2777.5354	0.14636287	4.579773	0.434289	0.072006755
14	5.6920867	0.81313217	44.65046	0.26363516	3.9324486	2716.8853	0.14415465	4.513058	0.43309012	0.07197455
15	5.6502748	0.81251365	47.922165	0.25868076	3.918323	2699.4062	0.1427331	4.50807	0.43091923	0.071912095
16	5.56748	0.8058965	54.375202	0.25337687	3.9121778	2688.386	0.13935669	4.509434	0.42593646	0.07116266
17	5.5334425	0.792716	60.740227	0.24905701	3.9131882	2654.9097	0.13889241	4.5112605	0.42700404	0.07113941
18	5.443932	0.78737223	73.26947	0.24293831	3.8853235	2634.6072	0.1368885	4.4482007	0.42069352	0.070954904
19	5.4205723	0.78319514	84.218544	0.24058291	3.880371	2600.9026	0.13529629	4.4432483	0.4181759	0.07100225
20	5.3580937	0.7722465	98.06619	0.23514965	3.8899236	2576.9355	0.13343363	4.409036	0.41489652	0.07063036
21	5.3069115	0.76834154	101.11592	0.233002	3.8668463	2574.7317	0.13256626	4.388535	0.41536337	0.07045067
22	5.2653737	0.76060885	94.73727	0.22926986	3.8107154	2545.6873	0.1312194	4.3642855	0.4114692	0.07044188
23	5.214878	0.75362766	92.953285	0.22596781	3.8361309	2525.2705	0.13114223	4.3755875	0.41167045	0.07010217
24	5.153479	0.7480231	95.566315	0.22455187	3.8308601	2504.945	0.13109894	4.3562746	0.41226393	0.0695382
25	5.172767	0.7527773	96.91581	0.22043785	3.8067253	2496.3918	0.13050361	4.3126264	0.409415	0.06911343
26	5.0985875	0.74409753	83.36297	0.2200016	3.8049014	2488.913	0.12920731	4.3100276	0.40709263	0.06917835
27	5.0824294	0.7382065	96.703896	0.21637626	3.824536	2488.8638	0.12837836	4.3010902	0.4050992	0.06921198
28	4.9966836	0.72993433	95.670654	0.2122756	3.8131664	2459.498	0.12624054	4.295965	0.40463823	0.06894168
29	4.999093	0.73286927	93.35277	0.21507315	3.7953465	2460.6123	0.12753165	4.279953	0.4034344	0.068405
30	4.9594355	0.72211593	90.733894	0.20895967	3.7819788	2419.1077	0.12674451	4.24421	0.40390268	0.0690692
31	4.9104633	0.72267026	88.17597	0.21198504	3.7752464	2421.7954	0.12528537	4.251042	0.4004013	0.06845627
32	4.9078426	0.72328943	92.14217	0.20982103	3.7993433	2420.1416	0.12530869	4.230739	0.40003407	0.068391696
33	4.8943777	0.72052383	90.119095	0.20780739	3.785514	2407.434	0.12479529	4.2088323	0.39944756	0.068249404
34	4.8366113	0.7124583	84.54859	0.20586966	3.7690907	2393.726	0.12481688	4.2275124	0.398398	0.068176165
35	4.8052073	0.7064873	89.09694	0.2035455	3.751262	2368.6084	0.12253333	4.194203	0.39870524	0.06835259
36	4.8240585	0.7095769	91.27227	0.20280825	3.771849	2386.5828	0.1229209	4.2044764	0.3974534	0.06816744
37	4.795428	0.70578367	84.814865	0.20112965	3.7498624	2366.5361	0.12194895	4.19714	0.39952976	0.06773708
38	4.817474	0.70432174	86.29138	0.20154372	3.75479	2354.81	0.12208671	4.16137	0.3949925	0.06773118
39	4.8040175	0.703449	85.4831	0.20035209	3.7576036	2371.7314	0.12072175	4.1759596	0.3949102	0.067655995
40	4.773761	0.7032095	83.887794	0.19851276	3.7305157	2353.7188	0.12134755	4.144216	0.39489815	0.06725105
41	4.7915616	0.7018109	89.79015	0.19736545	3.7303104	2344.5183	0.120302714	4.143459	0.39209434	0.067818604
42	4.692699	0.6927774	89.67542	0.19390082	3.738251	2341.8137	0.11990059	4.1701455	0.39183968	0.06772381
43	4.741518	0.69556844	82.46926	0.19656932	3.7174473	2333.2415	0.11970589	4.136938	0.39258358	0.06724266
44	4.699322	0.69231427	83.45097	0.19594876	3.7302914	2329.48	0.12001716	4.1228747	0.39390227	0.06758215
45	4.6873565	0.69579166	83.905266	0.19588391	3.718748	2318.9338	0.11956233	4.135382	0.39208204	0.06733669
46	4.6808944	0.6881272	83.72667	0.1919433	3.717203	2313.9243	0.11903402	4.102643	0.3901893	0.066464305
47	4.603682	0.6887245	82.71895	0.19127584	3.7295077	2293.028	0.11729738	4.1064525	0.3899883	0.066886455
48	4.6199713	0.6819417	84.93763	0.18898918	3.6930907	2284.7605	0.1166085	4.09299	0.39048326	0.06688508
49	4.619806	0.6871564	79.52192	0.18888344	3.7150764	2302.2139	0.116657555	4.1280923	0.3912281	0.066879466
50	4.601294	0.687262	82.49205	0.19184649	3.736714	2305.5847	0.11695529	4.107103	0.39226174	0.06670278
51	4.6100416	0.69018364	80.41124	0.19179295	3.7003078	2302.9302	0.117373005	4.086028	0.3906885	0.06713711
52	4.5517416	0.67868334	80.05189	0.18834025	3.690601	2280.8777	0.116704315	4.072376	0.38786757	0.06652809
53	4.567283	0.6743321	83.79906	0.18849601	3.6858046	2281.7334	0.116914615	4.0615697	0.38948944	0.06656237
54	4.551448	0.6767231	77.12255	0.18576357	3.6885498	2269.5579	0.11527799	4.053309	0.38917816	0.06607275
55	4.563493	0.6817597	82.518105	0.18838969	3.7215493	2289.7285	0.11584393	4.0667233	0.3865272	0.06631902
56	4.523712	0.6796957	81.155075	0.18680789	3.7089498	2275.7737	0.11624368	4.0554185	0.38701564	0.06614914
57	4.5698895	0.68420064	75.734215	0.1874437	3.720412	2269.9766	0.1150455	4.0639253	0.38680986	0.06669066
58	4.5142155	0.67324704	80.818405	0.18772581	3.7065675	2263.9194	0.115693316	4.024334	0.38216856	0.06621048
59	4.52466	0.676349	79.87638	0.18579195	3.7049747	2260.744	0.11579936	4.021412	0.38858974	0.066364326
60	4.5248113	0.67258924	78.0886	0.18441683	3.6845882	2253.0938	0.11467248	4.052393	0.38586438	0.06620237
61	4.4952273	0.6742098	81.91804	0.18485825	3.6873655	2239.5205	0.11538464	4.0292106	0.38566256	0.066044055
62	4.4702992	0.6738414	78.43103	0.18301049	3.6659672	2233.9243	0.11467748	4.0065603	0.385142	0.066072285
63	4.545692	0.6799671	78.75356	0.18516119	3.6947842	2262.0117	0.11544253	4.067855	0.3905805	0.065866485
64	4.4828706	0.6677275	74.86142	0.18131176	3.6783173	2227.693	0.114154406	4.0267467	0.38558134	0.06586627
65	4.512519	0.6729652	78.97517	0.1853201	3.6871696	2258.1465	0.11528598	4.0608697	0.38594052	0.06614905
66	4.461575	0.6684243	79.49105	0.18156677	3.6702838	2232.033	0.113859944	4.029377	0.38496342	0.065852135
67	4.460679	0.67095256	76.030785	0.18279439	3.6818032	2247.1453	0.11336592	4.0266476	0.38308576	0.06554381
